session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Stephan Hammel,"University of California, Irvine",The Conceptual Foundations of Historical Musical Materialism
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Jarek Ervin,University of Virginia,"Popular Music Studies, Marxism, and the Cultural"
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,"Concept"" Naomi Waltham-Smith",University of Pennsylvania,'Are You Deaf?' Historical Materialism
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Eric Dro,University of Texas at Austin,"Music, Technology, Music-As-Technology"
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Megan Eagen,University of North Carolina at Chapel Hill,'A Literary . . . or Musical Gift': Erasmus Rotenbucher's Bergkreyen as a Primer for Protestant Lay Exegesis
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Barbara Eichner,Oxford Brookes University,The Woman at the Well: Divine and Earth(l)y Love in Orlando di Lasso's Parody Masses
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Mary Ellen Ryan,Indiana University,'Our Enemies Are Gathered Together': The Politics of Motets in the Newberry Partbooks
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Sienna Wood,University of Colorado at Boulder,"Anti-Inquisition Propaganda at the Outbreak of the Dutch Revolt: NoÃ© Faignient's Chansons, madrigales et motetz"
Theater ,AMS,Port Alberni,Gundula Kreuzer,Yale University,NA,NA,Annelies Andries,Yale University,Dreaming 'OpÃ©ra de Luxe': Spectacle in Le Sueur's Ossian ou les Bardes
Theater ,AMS,Port Alberni,Gundula Kreuzer,Yale University,NA,NA,Katherine Hambridge,Durham University,'Genre Consciousness' in the Napoleonic Theater
Circuits of Empire ,AMS,Grand Ballroom A,Brigid Cohen,New York University,NA,NA,Bradley Shope,Texas A & M Corpus Christi,Trilateral Exchanges: Ragtime in Bombay in the 1910s and Its Musical Connections with London
Circuits of Empire ,AMS,Grand Ballroom A,Brigid Cohen,New York University,NA,NA,Gavin Williams,University of Cambridge,"Sound, Colony, and the Multinational: The Gramophone Company between London and Singapore, 1900â€“10"
The Eloquent Body ,AMS,Port McNeill,Janette Tilley,"Lehman College / Graduate Center, CUNY",NA,NA,Christina Hutten,University of British Columbia,The Claveciniste's Eloquent Body: Gestural Rhetoric in French Baroque Harpsichord Playing
The Eloquent Body ,AMS,Port McNeill,Janette Tilley,"Lehman College / Graduate Center, CUNY",NA,NA,Bettina Varwig,King's College London,'Mein Herze schwimmt im Blut': Early Modern Physiologies and Metaphors of the Heart
