session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
French Modernisms ,AMS,W: 102 A,Andrew Shenton,Boston University,NA,NA,Robert Sholl,Royal Academy of Music / University of West London,Olivier Messiaen: The Organ as God's Mouthpiece,2014
French Modernisms ,AMS,W: 102 A,Andrew Shenton,Boston University,NA,NA,Vincent Rone,"University of California, Santa Barbara",Fighting Modernism with Modernism: The French Organ School Responds to the Second Vatican Council of the Catholic Church,2014
Moving Lines in Popular Music Studies ,AMS,H: Crystal Ballroom,Andrew Flory,Carleton College,NA,NA,Carolyn Brunelle,"University at Buffalo, SUNY","The AFM vs. the British Invasion: Immigration Laws, Work Visas, and How Government Shaped the 1960s American Pop Charts",2014
Moving Lines in Popular Music Studies ,AMS,H: Crystal Ballroom,Andrew Flory,Carleton College,NA,NA,Oded Erez,"University of California, Los Angeles",Becoming Mediterranean: Greek Popular,2014
Moving Lines in Popular Music Studies ,AMS,H: Crystal Ballroom,Andrew Flory,Carleton College,NA,NA,Julian Onderdonk,West Chester University,'Roll Over Vaughan Williams': Richard Thompson and the Predicament of 'Electric Folk',2014
Moving Lines in Popular Music Studies ,AMS,H: Crystal Ballroom,Andrew Flory,Carleton College,NA,NA,Eric Smialek,McGill University,Extreme Metal and Its Others: Metal Audiences' Hostility towards Adolescence,2014
Music and the State ,AMS,W: 102 C,Brigid Cohen,New York University,NA,NA,Yana Lowry,"Fort Eustis, Va.",Calling for International Solidarity: Hanns Eisler's Mass Songs in the Soviet Union,2014
Music and the State ,AMS,W: 102 C,Brigid Cohen,New York University,NA,NA,Richard Nangle,Boston University,'Ideal und Wirklichkeit': Hanns Eisler's Later Settings of Tucholsky,2014
Music and the State ,AMS,W: 102 C,Brigid Cohen,New York University,NA,NA,Noriko Manabe,Princeton University,"Rock under Censorship: Allegories, Metaphors, and Obfuscation in Antinuclear Records from Post-Fukushima Japan",2014
Music and the State ,AMS,W: 102 C,Brigid Cohen,New York University,NA,NA,Phil Ford,Indiana University,We Are Our Demands: Sound Practice and the Occupy Movement,2014
Orientalisms ,AMS,W: 101 B,Jonathan Bellman,University of Northern Colorado,NA,NA,Stewart Carter,Wake Forest University,The Editor from Hell: Information and Misinformation on Chinese Music in Late Eighteenth-Century France,2014
Orientalisms ,AMS,W: 101 B,Jonathan Bellman,University of Northern Colorado,NA,NA,Thomas Irvine,University of Southampton,"J. N. Forkel, Global History, and the Challenge of Chinese Music",2014
Orientalisms ,AMS,W: 101 B,Jonathan Bellman,University of Northern Colorado,NA,NA,Stephen Cottrell,City University London,Ali Ben Sou Alle and His Turcophone: Middlebrow Music and Orientalism on the Nineteenth-Century Concert Stage,2014
Orientalisms ,AMS,W: 101 B,Jonathan Bellman,University of Northern Colorado,NA,NA,Jessica Stankis,"Santa Maria, Calif.",Maurice Ravel's Perfection through the Perspective of Style Japonais,2014
Performing Theory ,SMT,H: Walker,James Buhler,University of Texas at Austin,NA,NA,Jocelyn Ho,Stony Brook University,Musical Structure as Movement: A Bodily-Based Gestural Analysis of Toru Takemitsu's Rain Tree Sketch II,2014
Performing Theory ,SMT,H: Walker,James Buhler,University of Texas at Austin,NA,NA,Bonnie McAlvin,"Graduate Center, CUNY","Performance, Narrative, and Pitch Network Structure",2014
Performing Theory ,SMT,H: Walker,James Buhler,University of Texas at Austin,NA,NA,Alex Newton,University of Texas at Austin,"Music Performing Monsters, Monsters Performing Music: Music as Skin in 1930s Horror Film",2014
Wagner ,AMS,W: 102 E,Katherine Syer,University of Illinois at Urbana-Champaign,NA,NA,Anthony Barone,"University of Nevada, Las Vegas",Der Jugend muntre Spiele? Richard Wagner's Seven Compositions for Goethe's Faust,2014
